item_id,item_name,Categoria (preencha: Arma/Armadura/etc)
T7_CAPEITEM_FW_BRIDGEWATCH@4,Grandmaster's Bridgewatch Cape .4,etc
T8_CAPEITEM_FW_BRIDGEWATCH,Elder's Bridgewatch Cape,etc
T8_CAPEITEM_FW_BRIDGEWATCH@1,Elder's Bridgewatch Cape .1,etc
T8_CAPEITEM_FW_BRIDGEWATCH@2,Elder's Bridgewatch Cape .2,etc
T8_CAPEITEM_FW_BRIDGEWATCH@3,Elder's Bridgewatch Cape .3,etc
T8_CAPEITEM_FW_BRIDGEWATCH@4,Elder's Bridgewatch Cape .4,etc
T4_CAPEITEM_FW_FORTSTERLING,Adept's Fort Sterling Cape,etc
T4_CAPEITEM_FW_FORTSTERLING@1,Adept's Fort Sterling Cape .1,etc
T4_CAPEITEM_FW_FORTSTERLING@2,Adept's Fort Sterling Cape .2,etc
T4_CAPEITEM_FW_FORTSTERLING@3,Adept's Fort Sterling Cape .3,etc
T4_CAPEITEM_FW_FORTSTERLING@4,Adept's Fort Sterling Cape .4,etc
T5_CAPEITEM_FW_FORTSTERLING,Expert's Fort Sterling Cape,etc
T5_CAPEITEM_FW_FORTSTERLING@1,Expert's Fort Sterling Cape .1,etc
T5_CAPEITEM_FW_FORTSTERLING@2,Expert's Fort Sterling Cape .2,etc
T5_CAPEITEM_FW_FORTSTERLING@3,Expert's Fort Sterling Cape .3,etc
T5_CAPEITEM_FW_FORTSTERLING@4,Expert's Fort Sterling Cape .4,etc
T6_CAPEITEM_FW_FORTSTERLING,Master's Fort Sterling Cape,etc
T6_CAPEITEM_FW_FORTSTERLING@1,Master's Fort Sterling Cape .1,etc
T6_CAPEITEM_FW_FORTSTERLING@2,Master's Fort Sterling Cape .2,etc
T6_CAPEITEM_FW_FORTSTERLING@3,Master's Fort Sterling Cape .3,etc
T6_CAPEITEM_FW_FORTSTERLING@4,Master's Fort Sterling Cape .4,etc
T7_CAPEITEM_FW_FORTSTERLING,Grandmaster's Fort Sterling Cape,etc
T7_CAPEITEM_FW_FORTSTERLING@1,Grandmaster's Fort Sterling Cape .1,etc
T7_CAPEITEM_FW_FORTSTERLING@2,Grandmaster's Fort Sterling Cape .2,etc
T7_CAPEITEM_FW_FORTSTERLING@3,Grandmaster's Fort Sterling Cape .3,etc
T7_CAPEITEM_FW_FORTSTERLING@4,Grandmaster's Fort Sterling Cape .4,etc
T8_CAPEITEM_FW_FORTSTERLING,Elder's Fort Sterling Cape,etc
T8_CAPEITEM_FW_FORTSTERLING@1,Elder's Fort Sterling Cape .1,etc
T8_CAPEITEM_FW_FORTSTERLING@2,Elder's Fort Sterling Cape .2,etc
T8_CAPEITEM_FW_FORTSTERLING@3,Elder's Fort Sterling Cape .3,etc
T8_CAPEITEM_FW_FORTSTERLING@4,Elder's Fort Sterling Cape .4,etc
T4_CAPEITEM_FW_LYMHURST,Adept's Lymhurst Cape,etc
T4_CAPEITEM_FW_LYMHURST@1,Adept's Lymhurst Cape .1,etc
T4_CAPEITEM_FW_LYMHURST@2,Adept's Lymhurst Cape .2,etc
T4_CAPEITEM_FW_LYMHURST@3,Adept's Lymhurst Cape .3,etc
T4_CAPEITEM_FW_LYMHURST@4,Adept's Lymhurst Cape .4,etc
T5_CAPEITEM_FW_LYMHURST,Expert's Lymhurst Cape,etc
T5_CAPEITEM_FW_LYMHURST@1,Expert's Lymhurst Cape .1,etc
T5_CAPEITEM_FW_LYMHURST@2,Expert's Lymhurst Cape .2,etc
T5_CAPEITEM_FW_LYMHURST@3,Expert's Lymhurst Cape .3,etc
T5_CAPEITEM_FW_LYMHURST@4,Expert's Lymhurst Cape .4,etc
T6_CAPEITEM_FW_LYMHURST,Master's Lymhurst Cape,etc
T6_CAPEITEM_FW_LYMHURST@1,Master's Lymhurst Cape .1,etc
T6_CAPEITEM_FW_LYMHURST@2,Master's Lymhurst Cape .2,etc
T6_CAPEITEM_FW_LYMHURST@3,Master's Lymhurst Cape .3,etc
T6_CAPEITEM_FW_LYMHURST@4,Master's Lymhurst Cape .4,etc
T7_CAPEITEM_FW_LYMHURST,Grandmaster's Lymhurst Cape,etc
T7_CAPEITEM_FW_LYMHURST@1,Grandmaster's Lymhurst Cape .1,etc
T7_CAPEITEM_FW_LYMHURST@2,Grandmaster's Lymhurst Cape .2,etc
T7_CAPEITEM_FW_LYMHURST@3,Grandmaster's Lymhurst Cape .3,etc
T7_CAPEITEM_FW_LYMHURST@4,Grandmaster's Lymhurst Cape .4,etc
T8_CAPEITEM_FW_LYMHURST,Elder's Lymhurst Cape,etc
T8_CAPEITEM_FW_LYMHURST@1,Elder's Lymhurst Cape .1,etc
T8_CAPEITEM_FW_LYMHURST@2,Elder's Lymhurst Cape .2,etc
T8_CAPEITEM_FW_LYMHURST@3,Elder's Lymhurst Cape .3,etc
T8_CAPEITEM_FW_LYMHURST@4,Elder's Lymhurst Cape .4,etc
T4_CAPEITEM_FW_MARTLOCK,Adept's Martlock Cape,etc
T4_CAPEITEM_FW_MARTLOCK@1,Adept's Martlock Cape .1,etc
T4_CAPEITEM_FW_MARTLOCK@2,Adept's Martlock Cape .2,etc
T4_CAPEITEM_FW_MARTLOCK@3,Adept's Martlock Cape .3,etc
T4_CAPEITEM_FW_MARTLOCK@4,Adept's Martlock Cape .4,etc
T5_CAPEITEM_FW_MARTLOCK,Expert's Martlock Cape,etc
T5_CAPEITEM_FW_MARTLOCK@1,Expert's Martlock Cape .1,etc
T5_CAPEITEM_FW_MARTLOCK@2,Expert's Martlock Cape .2,etc
T5_CAPEITEM_FW_MARTLOCK@3,Expert's Martlock Cape .3,etc
T5_CAPEITEM_FW_MARTLOCK@4,Expert's Martlock Cape .4,etc
T6_CAPEITEM_FW_MARTLOCK,Master's Martlock Cape,etc
T6_CAPEITEM_FW_MARTLOCK@1,Master's Martlock Cape .1,etc
T6_CAPEITEM_FW_MARTLOCK@2,Master's Martlock Cape .2,etc
T6_CAPEITEM_FW_MARTLOCK@3,Master's Martlock Cape .3,etc
T6_CAPEITEM_FW_MARTLOCK@4,Master's Martlock Cape .4,etc
T7_CAPEITEM_FW_MARTLOCK,Grandmaster's Martlock Cape,etc
T7_CAPEITEM_FW_MARTLOCK@1,Grandmaster's Martlock Cape .1,etc
T7_CAPEITEM_FW_MARTLOCK@2,Grandmaster's Martlock Cape .2,etc
T7_CAPEITEM_FW_MARTLOCK@3,Grandmaster's Martlock Cape .3,etc
T7_CAPEITEM_FW_MARTLOCK@4,Grandmaster's Martlock Cape .4,etc
T8_CAPEITEM_FW_MARTLOCK,Elder's Martlock Cape,etc
T8_CAPEITEM_FW_MARTLOCK@1,Elder's Martlock Cape .1,etc
T8_CAPEITEM_FW_MARTLOCK@2,Elder's Martlock Cape .2,etc
T8_CAPEITEM_FW_MARTLOCK@3,Elder's Martlock Cape .3,etc
T8_CAPEITEM_FW_MARTLOCK@4,Elder's Martlock Cape .4,etc
T4_CAPEITEM_FW_THETFORD,Adept's Thetford Cape,etc
T4_CAPEITEM_FW_THETFORD@1,Adept's Thetford Cape .1,etc
T4_CAPEITEM_FW_THETFORD@2,Adept's Thetford Cape .2,etc
T4_CAPEITEM_FW_THETFORD@3,Adept's Thetford Cape .3,etc
T4_CAPEITEM_FW_THETFORD@4,Adept's Thetford Cape .4,etc
T5_CAPEITEM_FW_THETFORD,Expert's Thetford Cape,etc
T5_CAPEITEM_FW_THETFORD@1,Expert's Thetford Cape .1,etc
T5_CAPEITEM_FW_THETFORD@2,Expert's Thetford Cape .2,etc
T5_CAPEITEM_FW_THETFORD@3,Expert's Thetford Cape .3,etc
T5_CAPEITEM_FW_THETFORD@4,Expert's Thetford Cape .4,etc
T6_CAPEITEM_FW_THETFORD,Master's Thetford Cape,etc
T6_CAPEITEM_FW_THETFORD@1,Master's Thetford Cape .1,etc
T6_CAPEITEM_FW_THETFORD@2,Master's Thetford Cape .2,etc
T6_CAPEITEM_FW_THETFORD@3,Master's Thetford Cape .3,etc
T6_CAPEITEM_FW_THETFORD@4,Master's Thetford Cape .4,etc
T7_CAPEITEM_FW_THETFORD,Grandmaster's Thetford Cape,etc
T7_CAPEITEM_FW_THETFORD@1,Grandmaster's Thetford Cape .1,etc
T7_CAPEITEM_FW_THETFORD@2,Grandmaster's Thetford Cape .2,etc
T7_CAPEITEM_FW_THETFORD@3,Grandmaster's Thetford Cape .3,etc
T7_CAPEITEM_FW_THETFORD@4,Grandmaster's Thetford Cape .4,etc
T8_CAPEITEM_FW_THETFORD,Elder's Thetford Cape,etc
T8_CAPEITEM_FW_THETFORD@1,Elder's Thetford Cape .1,etc
T8_CAPEITEM_FW_THETFORD@2,Elder's Thetford Cape .2,etc
T8_CAPEITEM_FW_THETFORD@3,Elder's Thetford Cape .3,etc
T8_CAPEITEM_FW_THETFORD@4,Elder's Thetford Cape .4,etc
T4_CAPEITEM_FW_CAERLEON,Adept's Caerleon Cape,etc
T4_CAPEITEM_FW_CAERLEON@1,Adept's Caerleon Cape .1,etc
T4_CAPEITEM_FW_CAERLEON@2,Adept's Caerleon Cape .2,etc
T4_CAPEITEM_FW_CAERLEON@3,Adept's Caerleon Cape .3,etc
T4_CAPEITEM_FW_CAERLEON@4,Adept's Caerleon Cape .4,etc
T5_CAPEITEM_FW_CAERLEON,Expert's Caerleon Cape,etc
T5_CAPEITEM_FW_CAERLEON@1,Expert's Caerleon Cape .1,etc
T5_CAPEITEM_FW_CAERLEON@2,Expert's Caerleon Cape .2,etc
T5_CAPEITEM_FW_CAERLEON@3,Expert's Caerleon Cape .3,etc
T5_CAPEITEM_FW_CAERLEON@4,Expert's Caerleon Cape .4,etc
T6_CAPEITEM_FW_CAERLEON,Master's Caerleon Cape,etc
T6_CAPEITEM_FW_CAERLEON@1,Master's Caerleon Cape .1,etc
T6_CAPEITEM_FW_CAERLEON@2,Master's Caerleon Cape .2,etc
T6_CAPEITEM_FW_CAERLEON@3,Master's Caerleon Cape .3,etc
T6_CAPEITEM_FW_CAERLEON@4,Master's Caerleon Cape .4,etc
T7_CAPEITEM_FW_CAERLEON,Grandmaster's Caerleon Cape,etc
T7_CAPEITEM_FW_CAERLEON@1,Grandmaster's Caerleon Cape .1,etc
T7_CAPEITEM_FW_CAERLEON@2,Grandmaster's Caerleon Cape .2,etc
T7_CAPEITEM_FW_CAERLEON@3,Grandmaster's Caerleon Cape .3,etc
T7_CAPEITEM_FW_CAERLEON@4,Grandmaster's Caerleon Cape .4,etc
T8_CAPEITEM_FW_CAERLEON,Elder's Caerleon Cape,etc
T8_CAPEITEM_FW_CAERLEON@1,Elder's Caerleon Cape .1,etc
T8_CAPEITEM_FW_CAERLEON@2,Elder's Caerleon Cape .2,etc
T8_CAPEITEM_FW_CAERLEON@3,Elder's Caerleon Cape .3,etc
T8_CAPEITEM_FW_CAERLEON@4,Elder's Caerleon Cape .4,etc
T4_CAPEITEM_FW_BRECILIEN,Adept's Brecilien Cape,etc
T4_CAPEITEM_FW_BRECILIEN@1,Adept's Brecilien Cape .1,etc
T4_CAPEITEM_FW_BRECILIEN@2,Adept's Brecilien Cape .2,etc
T4_CAPEITEM_FW_BRECILIEN@3,Adept's Brecilien Cape .3,etc
T4_CAPEITEM_FW_BRECILIEN@4,Adept's Brecilien Cape .4,etc
T5_CAPEITEM_FW_BRECILIEN,Expert's Brecilien Cape,etc
T5_CAPEITEM_FW_BRECILIEN@1,Expert's Brecilien Cape .1,etc
T5_CAPEITEM_FW_BRECILIEN@2,Expert's Brecilien Cape .2,etc
T5_CAPEITEM_FW_BRECILIEN@3,Expert's Brecilien Cape .3,etc
T5_CAPEITEM_FW_BRECILIEN@4,Expert's Brecilien Cape .4,etc
T6_CAPEITEM_FW_BRECILIEN,Master's Brecilien Cape,etc
T6_CAPEITEM_FW_BRECILIEN@1,Master's Brecilien Cape .1,etc
T6_CAPEITEM_FW_BRECILIEN@2,Master's Brecilien Cape .2,etc
T6_CAPEITEM_FW_BRECILIEN@3,Master's Brecilien Cape .3,etc
T6_CAPEITEM_FW_BRECILIEN@4,Master's Brecilien Cape .4,etc
T7_CAPEITEM_FW_BRECILIEN,Grandmaster's Brecilien Cape,etc
T7_CAPEITEM_FW_BRECILIEN@1,Grandmaster's Brecilien Cape .1,etc
T7_CAPEITEM_FW_BRECILIEN@2,Grandmaster's Brecilien Cape .2,etc
T7_CAPEITEM_FW_BRECILIEN@3,Grandmaster's Brecilien Cape .3,etc
T7_CAPEITEM_FW_BRECILIEN@4,Grandmaster's Brecilien Cape .4,etc
T8_CAPEITEM_FW_BRECILIEN,Elder's Brecilien Cape,etc
T8_CAPEITEM_FW_BRECILIEN@1,Elder's Brecilien Cape .1,etc
T8_CAPEITEM_FW_BRECILIEN@2,Elder's Brecilien Cape .2,etc
T8_CAPEITEM_FW_BRECILIEN@3,Elder's Brecilien Cape .3,etc
T8_CAPEITEM_FW_BRECILIEN@4,Elder's Brecilien Cape .4,etc
T4_CAPEITEM_AVALON,Adept's Avalonian Cape,etc
T4_CAPEITEM_AVALON@1,Adept's Avalonian Cape .1,etc
T4_CAPEITEM_AVALON@2,Adept's Avalonian Cape .2,etc
T4_CAPEITEM_AVALON@3,Adept's Avalonian Cape .3,etc
T4_CAPEITEM_AVALON@4,Adept's Avalonian Cape .4,etc
T5_CAPEITEM_AVALON,Expert's Avalonian Cape,etc
T5_CAPEITEM_AVALON@1,Expert's Avalonian Cape .1,etc
T5_CAPEITEM_AVALON@2,Expert's Avalonian Cape .2,etc
T5_CAPEITEM_AVALON@3,Expert's Avalonian Cape .3,etc
T5_CAPEITEM_AVALON@4,Expert's Avalonian Cape .4,etc
T6_CAPEITEM_AVALON,Master's Avalonian Cape,etc
T6_CAPEITEM_AVALON@1,Master's Avalonian Cape .1,etc
T6_CAPEITEM_AVALON@2,Master's Avalonian Cape .2,etc
T6_CAPEITEM_AVALON@3,Master's Avalonian Cape .3,etc
T6_CAPEITEM_AVALON@4,Master's Avalonian Cape .4,etc
T7_CAPEITEM_AVALON,Grandmaster's Avalonian Cape,etc
T7_CAPEITEM_AVALON@1,Grandmaster's Avalonian Cape .1,etc
T7_CAPEITEM_AVALON@2,Grandmaster's Avalonian Cape .2,etc
T7_CAPEITEM_AVALON@3,Grandmaster's Avalonian Cape .3,etc
T7_CAPEITEM_AVALON@4,Grandmaster's Avalonian Cape .4,etc
T8_CAPEITEM_AVALON,Elder's Avalonian Cape,etc
T8_CAPEITEM_AVALON@1,Elder's Avalonian Cape .1,etc
T8_CAPEITEM_AVALON@2,Elder's Avalonian Cape .2,etc
T8_CAPEITEM_AVALON@3,Elder's Avalonian Cape .3,etc
T8_CAPEITEM_AVALON@4,Elder's Avalonian Cape .4,etc
T4_CAPEITEM_SMUGGLER,Adept's Smuggler Cape,etc
T4_CAPEITEM_SMUGGLER@1,Adept's Smuggler Cape .1,etc
T4_CAPEITEM_SMUGGLER@2,Adept's Smuggler Cape .2,etc
T4_CAPEITEM_SMUGGLER@3,Adept's Smuggler Cape .3,etc
T4_CAPEITEM_SMUGGLER@4,Adept's Smuggler Cape .4,etc
T5_CAPEITEM_SMUGGLER,Expert's Smuggler Cape,etc
T5_CAPEITEM_SMUGGLER@1,Expert's Smuggler Cape .1,etc
T5_CAPEITEM_SMUGGLER@2,Expert's Smuggler Cape .2,etc
T5_CAPEITEM_SMUGGLER@3,Expert's Smuggler Cape .3,etc
T5_CAPEITEM_SMUGGLER@4,Expert's Smuggler Cape .4,etc
T6_CAPEITEM_SMUGGLER,Master's Smuggler Cape,etc
T6_CAPEITEM_SMUGGLER@1,Master's Smuggler Cape .1,etc
T6_CAPEITEM_SMUGGLER@2,Master's Smuggler Cape .2,etc
T6_CAPEITEM_SMUGGLER@3,Master's Smuggler Cape .3,etc
T6_CAPEITEM_SMUGGLER@4,Master's Smuggler Cape .4,etc
T7_CAPEITEM_SMUGGLER,Grandmaster's Smuggler Cape,etc
T7_CAPEITEM_SMUGGLER@1,Grandmaster's Smuggler Cape .1,etc
T7_CAPEITEM_SMUGGLER@2,Grandmaster's Smuggler Cape .2,etc
T7_CAPEITEM_SMUGGLER@3,Grandmaster's Smuggler Cape .3,etc
T7_CAPEITEM_SMUGGLER@4,Grandmaster's Smuggler Cape .4,etc
T8_CAPEITEM_SMUGGLER,Elder's Smuggler Cape,etc
T8_CAPEITEM_SMUGGLER@1,Elder's Smuggler Cape .1,etc
T8_CAPEITEM_SMUGGLER@2,Elder's Smuggler Cape .2,etc
T8_CAPEITEM_SMUGGLER@3,Elder's Smuggler Cape .3,etc
T8_CAPEITEM_SMUGGLER@4,Elder's Smuggler Cape .4,etc
T4_CAPEITEM_HERETIC,Adept's Heretic Cape,etc
T4_CAPEITEM_HERETIC@1,Adept's Heretic Cape .1,etc
T4_CAPEITEM_HERETIC@2,Adept's Heretic Cape .2,etc
T4_CAPEITEM_HERETIC@3,Adept's Heretic Cape .3,etc
T4_CAPEITEM_HERETIC@4,Adept's Heretic Cape .4,etc
T5_CAPEITEM_HERETIC,Expert's Heretic Cape,etc
T5_CAPEITEM_HERETIC@1,Expert's Heretic Cape .1,etc
T5_CAPEITEM_HERETIC@2,Expert's Heretic Cape .2,etc
T5_CAPEITEM_HERETIC@3,Expert's Heretic Cape .3,etc
T5_CAPEITEM_HERETIC@4,Expert's Heretic Cape .4,etc
T6_CAPEITEM_HERETIC,Master's Heretic Cape,etc
T6_CAPEITEM_HERETIC@1,Master's Heretic Cape .1,etc
T6_CAPEITEM_HERETIC@2,Master's Heretic Cape .2,etc
T6_CAPEITEM_HERETIC@3,Master's Heretic Cape .3,etc
T6_CAPEITEM_HERETIC@4,Master's Heretic Cape .4,etc
T7_CAPEITEM_HERETIC,Grandmaster's Heretic Cape,etc
T7_CAPEITEM_HERETIC@1,Grandmaster's Heretic Cape .1,etc
T7_CAPEITEM_HERETIC@2,Grandmaster's Heretic Cape .2,etc
T7_CAPEITEM_HERETIC@3,Grandmaster's Heretic Cape .3,etc
T7_CAPEITEM_HERETIC@4,Grandmaster's Heretic Cape .4,etc
T8_CAPEITEM_HERETIC,Elder's Heretic Cape,etc
T8_CAPEITEM_HERETIC@1,Elder's Heretic Cape .1,etc
T8_CAPEITEM_HERETIC@2,Elder's Heretic Cape .2,etc
T8_CAPEITEM_HERETIC@3,Elder's Heretic Cape .3,etc
T8_CAPEITEM_HERETIC@4,Elder's Heretic Cape .4,etc
T4_CAPEITEM_UNDEAD,Adept's Undead Cape,etc
T4_CAPEITEM_UNDEAD@1,Adept's Undead Cape .1,etc
T4_CAPEITEM_UNDEAD@2,Adept's Undead Cape .2,etc
T4_CAPEITEM_UNDEAD@3,Adept's Undead Cape .3,etc
T4_CAPEITEM_UNDEAD@4,Adept's Undead Cape .4,etc
T5_CAPEITEM_UNDEAD,Expert's Undead Cape,etc
T5_CAPEITEM_UNDEAD@1,Expert's Undead Cape .1,etc
T5_CAPEITEM_UNDEAD@2,Expert's Undead Cape .2,etc
T5_CAPEITEM_UNDEAD@3,Expert's Undead Cape .3,etc
T5_CAPEITEM_UNDEAD@4,Expert's Undead Cape .4,etc
T6_CAPEITEM_UNDEAD,Master's Undead Cape,etc
T6_CAPEITEM_UNDEAD@1,Master's Undead Cape .1,etc
T6_CAPEITEM_UNDEAD@2,Master's Undead Cape .2,etc
T6_CAPEITEM_UNDEAD@3,Master's Undead Cape .3,etc
T6_CAPEITEM_UNDEAD@4,Master's Undead Cape .4,etc
T7_CAPEITEM_UNDEAD,Grandmaster's Undead Cape,etc
T7_CAPEITEM_UNDEAD@1,Grandmaster's Undead Cape .1,etc
T7_CAPEITEM_UNDEAD@2,Grandmaster's Undead Cape .2,etc
T7_CAPEITEM_UNDEAD@3,Grandmaster's Undead Cape .3,etc
T7_CAPEITEM_UNDEAD@4,Grandmaster's Undead Cape .4,etc
T8_CAPEITEM_UNDEAD,Elder's Undead Cape,etc
T8_CAPEITEM_UNDEAD@1,Elder's Undead Cape .1,etc
T8_CAPEITEM_UNDEAD@2,Elder's Undead Cape .2,etc
T8_CAPEITEM_UNDEAD@3,Elder's Undead Cape .3,etc
T8_CAPEITEM_UNDEAD@4,Elder's Undead Cape .4,etc
T4_CAPEITEM_KEEPER,Adept's Keeper Cape,etc
T4_CAPEITEM_KEEPER@1,Adept's Keeper Cape .1,etc
T4_CAPEITEM_KEEPER@2,Adept's Keeper Cape .2,etc
T4_CAPEITEM_KEEPER@3,Adept's Keeper Cape .3,etc
T4_CAPEITEM_KEEPER@4,Adept's Keeper Cape .4,etc
T5_CAPEITEM_KEEPER,Expert's Keeper Cape,etc
T5_CAPEITEM_KEEPER@1,Expert's Keeper Cape .1,etc
T5_CAPEITEM_KEEPER@2,Expert's Keeper Cape .2,etc
T5_CAPEITEM_KEEPER@3,Expert's Keeper Cape .3,etc
T5_CAPEITEM_KEEPER@4,Expert's Keeper Cape .4,etc
T6_CAPEITEM_KEEPER,Master's Keeper Cape,etc
T6_CAPEITEM_KEEPER@1,Master's Keeper Cape .1,etc
T6_CAPEITEM_KEEPER@2,Master's Keeper Cape .2,etc
T6_CAPEITEM_KEEPER@3,Master's Keeper Cape .3,etc
T6_CAPEITEM_KEEPER@4,Master's Keeper Cape .4,etc
T7_CAPEITEM_KEEPER,Grandmaster's Keeper Cape,etc
T7_CAPEITEM_KEEPER@1,Grandmaster's Keeper Cape .1,etc
T7_CAPEITEM_KEEPER@2,Grandmaster's Keeper Cape .2,etc
T7_CAPEITEM_KEEPER@3,Grandmaster's Keeper Cape .3,etc
T7_CAPEITEM_KEEPER@4,Grandmaster's Keeper Cape .4,etc
T8_CAPEITEM_KEEPER,Elder's Keeper Cape,etc
T8_CAPEITEM_KEEPER@1,Elder's Keeper Cape .1,etc
T8_CAPEITEM_KEEPER@2,Elder's Keeper Cape .2,etc
T8_CAPEITEM_KEEPER@3,Elder's Keeper Cape .3,etc
T8_CAPEITEM_KEEPER@4,Elder's Keeper Cape .4,etc
T4_CAPEITEM_MORGANA,Adept's Morgana Cape,etc
T4_CAPEITEM_MORGANA@1,Adept's Morgana Cape .1,etc
T4_CAPEITEM_MORGANA@2,Adept's Morgana Cape .2,etc
